Date, Open, High, Low, Close
2021-03-31,2374.76,2395.69,2374.76,2382.74
2021-03-30,2370.23,2376.37,2358.92,2371.1
2021-03-29,2382.5,2382.5,2358.94,2373.02
2021-03-26,2346.29,2384.97,2346.29,2383.3
2021-03-25,2328.42,2350.45,2304.85,2344.58
2021-03-24,2350.85,2367.28,2328.91,2328.96
2021-03-23,2373.25,2373.37,2342.69,2347.98
2021-03-22,2360.78,2382.65,2360.78,2373.42
2021-03-19,2358.55,2369.45,2341.76,2360.35
2021-03-18,2398.57,2398.57,2355.41,2358.48
2021-03-17,2390.63,2405.67,2373.55,2399.71
2021-03-16,2402.51,2405.66,2385.05,2392.11
2021-03-15,2383.67,2401.32,2373.26,2400.9
2021-03-12,2379.25,2384.81,2364.9,2384.01
2021-03-11,2351.33,2390.17,2351.33,2380.74
2021-03-10,2336.32,2361.18,2336.32,2350.47
2021-03-09,2304.37,2351.31,2304.37,2334.85
2021-03-08,2310.29,2334.53,2297.66,2298.76
2021-03-05,2269.28,2315.83,2235.69,2310.97
2021-03-04,2304.69,2315.28,2239.59,2268.02
2021-03-03,2338.14,2341.14,2304.45,2304.69
2021-03-02,2360.94,2363.63,2337.77,2338.26
2021-03-01,2305.91,2367.91,2305.91,2360.91
2021-02-26,2311.65,2331.79,2286.51,2303.22
2021-02-25,2373.71,2374.25,2302.74,2311.18
2021-02-24,2346.37,2375.45,2333.84,2373.82
2021-02-23,2346.56,2355.29,2298.11,2346.84
